"sites","Long","Lat","name","centre","fokontany","code","alert_status","deb_sem","myradius"
"abv",45.59663,-24.66896986,"Ambovombe","CSB2 ANDALATANOSY ABV","Andalatanosy Atsimo","2016_24",NA,2016-06-13,1
"abz",48.425,-17.8358899,"Ambatondrazaka","CSBU AMBATONDRAZAKA ABZ","Ambohimasina","2016_24",NA,2016-06-13,1
"ahh",47.98458,-14.87278991,"Antsohihy","CSB2 URBAIN AHH","Antafiantsivakina","2016_24","normal",2016-06-13,9
"ajb",47.8795,-18.40266989,"Anjozorobe","CSB2 ANJOZOROBE AJB","Anjozorobe","2016_24","normal",2016-06-13,11
"atb",47.04309,-19.87578989,"Antsirabe","CSB2 AMBALAVATO ATB","Tomboarivo","2016_24","normal",2016-06-13,10
"bel",44.54722,-19.69917989,"Belo sur Tsiribihina","CSBU BELO TSIRIBIHINA","Soatsioky","2016_24",NA,2016-06-13,1
"bhk",47.52579426,-18.90269788,"Behoririka","CSB2 AMIT BEHORIRIKA","Behoririka","2016_24",NA,2016-06-13,1
"boe",46.71696,-16.4676599,"Ambato Boeny","CSBU AMBATO BOENY BOE","Ambato Boeny","2016_24",NA,2016-06-13,1
"bos",47.2514,-20.52029988,"Ambositra","CSB2 VATOVORY BOS","Vatovory","2016_24",NA,2016-06-13,1
"cda",47.49888222,-18.90466439,"Andohatapenaka","CDA ANDOHATAPENAKA","Andohatapenaka I","2016_24","normal",2016-06-13,11
"die",49.29383,-12.28322993,"Antsiranana I","CSB2 TANAMBAO DIE","Bazarikely","2016_24","normal",2016-06-13,9
"dri",48.82799,-15.84181991,"Mandritsara","CSB2 MANDRITSARA","Mandritsara Vaovao","2016_24","normal",2016-06-13,8
"ejd",44.516,-24.35099987,"Ejeda","SALFA EJEDA","Ejeda Sud","2016_24",NA,2016-06-13,1
"far",47.83131,-22.82282987,"Farafangana","CSB2 FARAFANGANA FAR","Ambahibe","2016_24",NA,2016-06-13,1
"fns",47.09358,-21.44545988,"Fianarantsoa","SALFA IVORY FNS","Ivory","2016_24","normal",2016-06-13,10
"iho",46.09932,-22.38624987,"Ihosy","CSB2 ANKILY IHO","Ankily","2016_24",NA,2016-06-13,1
"mae",46.82948,-16.9453099,"Maevatanana","CSB2 URBAIN MAE","Anosikely Avaratra","2016_24","normal",2016-06-13,3
"mdv",44.27608,-20.28950988,"Morondava","CSB2 MDV","Morondava Centre","2016_24","normal",2016-06-13,9
"mhj",46.33004,-15.70655991,"Mahajanga","CSB2 TSARARANO MHJ","Tsararano Ambony","2016_24",NA,2016-06-13,1
"mia",45.45818,-19.52801989,"Miandrivazo","CSBU MIANDRIVAZO MIA","Miandrivazo II","2016_24","normal",2016-06-13,8
"mjr",47.53434,-18.89063989,"Manjakaray","MANJAKARAY MJR","Manjakaray IIb","2016_24","normal",2016-06-13,11
"mnj",48.34762,-21.23438988,"Mananjary","CSBU MANANJARY","Masindrano","2016_24","normal",2016-06-13,8
"mrb",43.74811,-21.70041988,"Morombe","SALFA TANANDAVA MRB","Tanandava Station","2016_24",NA,2016-06-13,1
"mrg",48.22965,-18.94855989,"Moramanga","CSMI MRG","Moramanga Ville","2016_24","normal",2016-06-13,8
"mrt",49.74058,-15.43706991,"Maroantsetra","CSBU MAROANTSETRA MRT","Androkaroka","2016_24",NA,2016-06-13,1
"mtn",44.02403,-18.05918989,"Maintirano","CSBU MAINTIRANO MTN","Andranovoribe","2016_24","normal",2016-06-13,4
"nsb",48.27481,-13.40485992,"Nosy Be","CSBU NOSYBE NSB","Camp Vert","2016_24","normal",2016-06-13,5
"sbv",50.15967,-14.25692991,"Sambava","CSB2 SAMBAVA SBV","Sambava Centre","2016_24","normal",2016-06-13,7
"stm",49.85307,-16.9989999,"Ambodifototra","CSBU SAINTE MARIE STM","Ambodifotatra","2016_24",NA,2016-06-13,1
"tdd",46.04964,-18.76918989,"Tsiroanomandidy","CSB2 URBAIN TDD","Name Unknown","2016_24","normal",2016-06-13,7
"tgr",46.9948,-25.03053986,"Tolagnaro","SALFA TGR","Bazaribe","2016_24","normal",2016-06-13,9
"tlr",43.67482,-23.35310987,"Toliary","CSB2 TANAMBAO TLR","Tanambao I","2016_24","normal",2016-06-13,10
"toa",49.40831,-18.15370989,"Toamasina","DU TANAMBAO I TOA","Tanambao I 31/21","2016_24",NA,2016-06-13,1
"tsl",47.52331756,-18.90708058,"Tsaralalana","CSB2 CSMI TSARALALANA","Antanimalalaka Analakely","2016_24","normal",2016-06-13,11
