Centre,Code
AMBATOLAHY,AMBL
CSB2 AMBALAVATO ATB,ATB
CSB2 VATOVORY BOS,BOS
CDA ANDOHATAPENAKA,CDA
CSB2 TANAMBAO DIE,DIE
MANANDONA ,DONA
ANDRANOFITO,FITO
SALFA IVORY FNS,FNS
MANJAKARAY MJR,MJR
CSMI MRG,MRG
CSBU MAINTIRANO MTN,MTN
CSBU NOSYBE NSB,NSB
ANTSAMPANDRANO,SAMP
CSB2 SAMBAVA SBV,SBV
SABOTSY NAMATOANA,SNAM
CSBU SAINTE MARIE STM,STM
ANTANAMBAO ,TANB
AMBOHITOMPOINA,TOMP
ANDRANOVELONA,VELO
AMBOANANA,ABON
ANTSAMPANDRANO,ANTS
CSB2 URBAIN TDD,TDD
SALFA TGR,TGR
CSB2 ANDALATANOSY ABV,ABV
CSBU AMBATONDRAZAKA ABZ,ABZ
CSB2 ANJOZOROBE AJB,AJB
CSBU AMBATO BOENY BOE,BOE
AMBODIRIANA,DIRI
CSB2 MANDRITSARA,DRI
CSB2 FARAFANGANA FAR,FAR
CSB2 MDV,MDV
CSBU MANANJARY MNJ,MNJ
MANALALONDO,MNLD
CSMI TSARALALANA TSL,TSL
ANDRANOVOLA,VOLA
CSB2 URBAIN AHH,AHH
CSB2 URBAIN MAE,MAE
CSBU MIANDRIVAZO MIA,MIA
AMBATOMIADY,MIAD
TSIMADILO,TSIM
OSTIE BEHORIRIKA BHK,BHK
MORARANO,MORA
CSB2 ANKILY IHO,IHO
CSBU MAROANTSETRA MRT,MRT
TSARAHONENANA,TSAR
SALFA EJEDA,EJD
DU TANAMBAO I TOA,TOA
VINANIKARENA,VINK
CSB2 TSARARANO MHJ,MHJ
ANTANIMANDRY,MAND
CSB2 TANAMBAO TLR,TLR
BELANITRA,BELA
SALFA TANANDAVA MRB,MRB
CSBU BELO TSIRIBIHINA,BEL
